City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,lujan,-34.57,-59.1,88.0,45,0,9.17,AR,1580240053
127,bhuj,23.27,69.67,62.26,64,0,10.38,IN,1580240035
128,cherskiy,68.75,161.3,-23.42,97,100,8.01,RU,1580240053
129,georgetown,5.41,100.34,82.4,83,20,8.05,MY,1580239868
130,point fortin,10.18,-61.68,87.8,58,20,11.41,TT,1580240053
131,hithadhoo,-0.6,73.08,81.23,79,51,13.62,MV,1580240054
132,chopinzinho,-25.86,-52.52,69.3,90,70,3.65,BR,1580240054
133,porto novo,6.5,2.6,82.4,78,43,8.05,BJ,1580239926
134,iqaluit,63.75,-68.51,-22.0,67,75,20.8,CA,1580240054
135,tiksi,71.69,128.87,-22.94,87,95,4.18,RU,1580240054
136,east london,-33.02,27.91,66.2,77,0,5.82,ZA,1580240054
137,sorland,67.67,12.69,33.8,95,75,8.05,NO,1580240054
138,kamenka,51.32,42.77,33.01,95,100,5.01,RU,1580240054
139,longyearbyen,78.22,15.64,-1.37,75,98,5.06,SJ,1580240054
140,thompson,55.74,-97.86,14.0,85,90,6.93,CA,1580239821
141,cookeville,36.16,-85.5,50.0,86,90,3.36,US,1580239940
142,yellowknife,62.46,-114.35,1.0,84,90,6.93,CA,1580240055
143,ancud,-41.87,-73.82,62.6,45,40,13.87,CL,1580240055
144,mendeleyevo,56.03,37.22,28.4,92,90,8.95,RU,1580240055
145,sitka,57.05,-135.33,33.8,77,75,10.29,US,1580239984
146,qaanaaq,77.48,-69.36,-9.98,92,100,3.24,GL,1580240043
147,kathu,7.92,98.33,75.2,73,20,2.24,TH,1580240055
148,belyy yar,53.6,91.39,10.4,85,100,3.98,RU,1580240055
149,clyde river,70.47,-68.59,-20.2,75,20,14.99,CA,1580240055
150,avera,33.19,-82.53,60.8,34,1,4.7,US,1580240055
151,sistranda,63.73,8.83,35.6,64,100,16.11,NO,1580240055
152,xam nua,20.42,104.04,49.03,92,95,2.91,LA,1580240055
153,tucuman,-26.82,-65.22,86.0,55,75,4.7,AR,1580239805
154,sao felix do xingu,-6.64,-51.99,76.55,95,100,2.35,BR,1580240056
155,itoman,26.12,127.67,60.8,82,75,14.99,JP,1580239967
156,abilene,32.45,-99.73,44.01,60,90,20.8,US,1580240037
157,batagay-alyta,67.8,130.41,-18.35,61,63,4.74,RU,1580240056
158,norman wells,65.28,-126.83,-25.6,74,75,3.36,CA,1580240056
159,udayagiri,20.13,84.38,66.29,95,17,0.27,IN,1580240056
160,bumba,2.18,22.47,77.07,38,0,1.54,CD,1580240056
161,ughelli,5.49,6.01,78.01,66,9,3.13,NG,1580240056
162,ribeira grande,38.52,-28.7,62.6,100,75,13.87,PT,1580240056
163,heze,35.24,115.44,34.09,63,59,3.11,CN,1580240056
164,kalmunai,7.42,81.82,79.23,71,100,9.08,LK,1580240040
165,humberto de campos,-2.6,-43.46,81.05,80,100,6.76,BR,1580240057
166,dongsheng,39.82,109.98,17.31,93,89,9.66,CN,1580240057
167,mount isa,-20.73,139.5,75.2,94,90,11.41,AU,1580240057
168,arman,59.7,150.17,8.51,96,100,2.66,RU,1580240057
169,hasaki,35.73,140.83,59.0,93,75,24.16,JP,1580240057
170,makakilo city,21.35,-158.09,75.2,73,90,1.41,US,1580240057
171,ilulissat,69.22,-51.1,3.2,49,75,17.22,GL,1580239801
172,tasiilaq,65.61,-37.64,28.4,54,75,2.24,GL,1580240049
173,hailar,49.2,119.7,-6.81,96,0,3.36,CN,1580240057
174,hamilton,39.18,-84.53,36.0,74,90,3.36,US,1580240058
175,lebedinyy,58.52,125.52,-2.81,84,0,10.76,RU,1580240058
176,katherine,-14.47,132.27,73.4,94,90,6.93,AU,1580240058
177,bethel,41.37,-73.41,42.01,64,90,8.05,US,1580240058
178,ponta do sol,32.67,-17.1,62.6,67,20,4.7,PT,1580240048
179,chapais,49.78,-74.85,12.2,66,1,6.93,CA,1580240058
180,flinders,-34.58,150.86,73.0,94,90,5.82,AU,1580240058
181,sao filipe,14.9,-24.5,73.47,57,71,14.54,CV,1580240058
182,bukachacha,52.98,116.92,-3.12,84,0,1.36,RU,1580240059
183,carauari,-4.88,-66.9,83.12,86,100,4.27,BR,1580239772
184,pontal do parana,-25.65,-48.51,82.0,100,75,12.75,BR,1580239786
185,nouakchott,18.09,-15.98,87.8,6,0,6.93,MR,1580240059
186,caiaponia,-16.96,-51.81,74.25,91,55,8.1,BR,1580240059
187,nortelandia,-14.45,-56.8,85.08,74,28,5.64,BR,1580240059
188,talnakh,69.49,88.4,12.2,85,75,11.18,RU,1580240059
189,kavieng,-2.57,150.8,84.04,75,35,7.81,PG,1580240059
190,torbay,47.67,-52.73,32.0,100,90,9.17,CA,1580239798
191,galway,53.27,-9.05,39.2,86,20,14.99,IE,1580240059
192,carnarvon,-24.87,113.63,77.0,88,0,20.8,AU,1580240059
193,urumqi,43.8,87.6,15.8,85,0,2.24,CN,1580240059
194,thinadhoo,0.53,72.93,80.76,77,25,13.67,MV,1580240060
195,guanare,9.04,-69.74,92.52,40,74,2.98,VE,1580239889
196,kindu,-2.95,25.95,70.65,97,90,2.35,CD,1580240060
197,half moon bay,37.46,-122.43,61.0,87,90,6.93,US,1580240060
198,qasigiannguit,68.82,-51.19,3.2,49,75,17.22,GL,1580239840
199,chokurdakh,70.63,147.92,-16.91,96,100,10.6,RU,1580240060
200,lima,-12.04,-77.03,80.6,69,90,12.75,PE,1580240060
201,koygorodok,60.45,51.0,-15.16,97,0,4.07,RU,1580240060
202,opunake,-39.46,173.86,66.0,96,100,5.01,NZ,1580240060
203,aykhal,66.0,111.5,0.16,94,100,11.21,RU,1580240060
204,doha,25.29,51.53,60.8,67,0,5.82,QA,1580240060
205,comodoro rivadavia,-45.87,-67.5,66.2,39,40,8.05,AR,1580239801
206,imbituba,-28.24,-48.67,80.6,78,75,11.41,BR,1580240061
207,college,64.86,-147.8,-17.0,74,20,3.49,US,1580239843
208,khatanga,71.97,102.5,-6.57,96,99,4.07,RU,1580240061
209,le port,-20.94,55.29,73.4,83,60,8.05,RE,1580240061
210,kushmurun,52.45,64.63,-7.73,89,0,5.79,KZ,1580240061
211,ketchikan,55.34,-131.65,41.0,93,75,13.87,US,1580240061
212,baykit,61.67,96.37,7.88,96,100,2.46,RU,1580240061
213,lingao,19.91,109.69,62.76,76,98,11.79,CN,1580240061
214,wanning,18.8,110.4,56.95,95,99,7.76,CN,1580240061
215,kamakwie,9.5,-12.23,76.59,29,33,3.6,SL,1580240062
